time,P,Ta,Tamin,Tamax,RH,d2hP,lai_0,lai_1,lai_2,lai_3,PET
2019-04-17,0.0,284.45,276.75,291.65,0.5869785714285713,-86.41754545454545,1.7643122676579923,1.4754545454545456,1.7612685873605947,1.7541666666666669,0.003989951081520602
2019-04-18,0.0,288.04999999999995,280.95,293.95,0.5783142857142858,-83.28809090909091,1.768996282527881,1.4904545454545457,1.7876723977695166,1.83125,0.004478775296265576
2019-04-19,0.0,288.25,281.54999999999995,295.34999999999997,0.5588785714285713,-80.15863636363636,1.7736802973977694,1.5054545454545456,1.8140762081784383,1.9083333333333328,0.004534866813082017
2019-04-20,0.0,287.04999999999995,277.84999999999997,294.15,0.5567,-77.02918181818181,1.7783643122676578,1.5204545454545455,1.8404800185873604,1.9854166666666668,0.004610623467424359
2019-04-21,0.0,287.45,281.75,293.75,0.5501785714285714,-73.89972727272726,1.7830483271375464,1.5354545454545456,1.8668838289962824,2.0625,0.004206761105968943
2019-04-22,0.0,286.04999999999995,280.15,290.15,0.5456857142857143,-70.77027272727273,1.787732342007435,1.5504545454545458,1.8932876394052043,2.1395833333333334,0.004331382475172731
2019-04-23,0.0003,287.15,282.45,291.54999999999995,0.5349142857142857,-67.64081818181818,1.7924163568773233,1.5654545454545457,1.9196914498141262,2.216666666666667,0.004627879121548958
2019-04-24,0.0001,289.95,285.25,296.45,0.5371785714285715,-64.51136363636363,1.7093308550185873,1.574318181818182,1.8665315985130109,2.2333333333333334,0.004834397713873864
2019-04-25,0.0,292.15,285.84999999999997,298.95,0.52435,-61.38190909090909,1.6262453531598513,1.5831818181818185,1.813371747211896,2.25,0.005240212219671936
2019-04-26,0.0032,293.04999999999995,283.75,300.34999999999997,0.5118214285714285,-58.25245454545454,1.543159851301115,1.5920454545454548,1.7602118959107804,2.2666666666666666,0.0063545586420090455
2019-04-27,0.0,285.54999999999995,282.45,290.34999999999997,0.5226214285714286,-55.123,1.4600743494423791,1.600909090909091,1.7070520446096653,2.283333333333333,0.0038325680627324735
2019-04-28,0.0004,283.45,281.15,286.25,0.5184285714285715,-49.7155,1.3769888475836431,1.6097727272727274,1.6538921933085502,2.3000000000000003,0.0032304585812877058
2019-04-29,0.0012,283.75,278.54999999999995,290.04999999999995,0.5382857142857143,-44.308,1.2939033457249072,1.6186363636363637,1.600732342007435,2.316666666666667,0.0039316377345494395
2019-04-30,0.0001,283.95,276.65,291.84999999999997,0.5461428571428572,-41.544,1.2108178438661712,1.6275000000000002,1.5475724907063197,2.333333333333333,0.004242221192413216
2019-05-01,0.0009,285.25,280.84999999999997,290.75,0.5623928571428571,-39.35385714285714,1.1277323420074352,1.6363636363636365,1.4944126394052044,2.35,0.004012396954158561
2019-05-02,0.0003,283.15,280.34999999999997,286.25,0.5868,-37.163714285714285,1.193197026022305,1.6779545454545457,1.5414879182156134,2.354166666666667,0.003349074038008081
2019-05-03,0.0,281.95,279.54999999999995,285.54999999999995,0.5967071428571429,-34.973571428571425,1.2586617100371749,1.7195454545454547,1.5885631970260223,2.3583333333333334,0.003006054307649073
2019-05-04,0.0004,278.65,273.45,281.34999999999997,0.613642857142857,-32.78342857142857,1.324126394052045,1.7611363636363635,1.6356384758364313,2.3625,0.0028140088820400467
2019-05-05,0.0,278.84999999999997,272.25,285.54999999999995,0.6293,-30.59328571428572,1.3895910780669147,1.8027272727272727,1.6827137546468403,2.3666666666666667,0.0032614929980741827
2019-05-06,0.0001,280.84999999999997,275.75,285.34999999999997,0.6372428571428571,-28.403142857142857,1.4550557620817846,1.844318181818182,1.7297890334572492,2.3708333333333336,0.0032684069820807142
2019-05-07,0.0,281.25,277.54999999999995,286.45,0.6425428571428572,-26.213,1.5205204460966546,1.885909090909091,1.7768643122676582,2.375,0.0030459316439070076
2019-05-08,0.0017,285.25,276.45,290.95,0.6365571428571428,-40.416,1.5859851301115244,1.9275,1.823939591078067,2.3791666666666664,0.004521124578920499
2019-05-09,0.0009,286.25,283.25,290.54999999999995,0.6532571428571429,-54.619,1.6514498141263942,1.9690909090909088,1.8710148698884757,2.3833333333333333,0.003356842069881475
2019-05-10,0.0029,285.15,280.15,289.34999999999997,0.6715928571428571,-49.285,1.7130111524163572,2.0188636363636365,1.96410780669145,2.55,0.003671970080173412
2019-05-11,0.0036,283.45,279.25,288.34999999999997,0.6746857142857142,-37.239,1.7745724907063198,2.068636363636364,2.0572007434944237,2.716666666666667,0.0033300801281637366
2019-05-12,0.0,284.15,278.75,290.45,0.6632857142857144,-23.919,1.8361338289962823,2.118409090909091,2.1502936802973975,2.8833333333333333,0.0038069195326755198
2019-05-13,0.0001,282.25,276.34999999999997,288.34999999999997,0.6471785714285714,-22.9205,1.8976951672862448,2.1681818181818184,2.2433866171003713,3.05,0.0036623057557200016
2019-05-14,0.0,281.04999999999995,275.54999999999995,287.45,0.6504214285714285,-21.922,1.9592565055762083,2.2179545454545457,2.3364795539033456,3.216666666666667,0.003483651443423361
2019-05-15,0.0068,281.04999999999995,275.54999999999995,285.54999999999995,0.6485714285714286,-46.4305,2.020817843866171,2.267727272727273,2.4295724907063194,3.3833333333333333,0.0033782554477196323
2019-05-16,0.0065,281.65,278.34999999999997,284.34999999999997,0.6651214285714285,-70.939,2.0823791821561337,2.3175000000000003,2.5226654275092937,3.55,0.0027455217143402583
2019-05-17,0.0,285.95,277.15,292.95,0.6820857142857143,-62.07175,2.1439405204460966,2.367272727272728,2.6157583643122675,3.716666666666667,0.004702988479204364
2019-05-18,0.0,290.84999999999997,284.15,297.34999999999997,0.6756,-53.2045,2.121078066914498,2.353636363636364,2.5966296468401486,3.70625,0.005069607767149157
2019-05-19,0.0,292.45,286.95,298.45,0.6730357142857143,-44.33725,2.0982156133829,2.3400000000000003,2.57750092936803,3.6958333333333337,0.005012936744166667
2019-05-20,0.0215,290.25,286.54999999999995,295.95,0.6888428571428571,-35.47,2.0753531598513013,2.3263636363636366,2.558372211895911,3.685416666666667,0.004206381041450841
2019-05-21,0.0062,291.04999999999995,285.45,297.04999999999995,0.6982142857142857,-20.137,2.052490706319703,2.312727272727273,2.5392434944237916,3.675,0.004734004355643691
2019-05-22,0.0060999999999999995,285.65,283.75,288.75,0.7279785714285716,-36.883,2.0296282527881044,2.2990909090909093,2.520114776951673,3.6645833333333337,0.0029639682310400256
2019-05-23,0.0,286.75,282.75,292.45,0.72405,-33.613600000000005,2.006765799256506,2.2854545454545456,2.500986059479554,3.654166666666667,0.0037841694619294656
2019-05-24,0.0,289.65,282.04999999999995,295.84999999999997,0.7067857142857144,-30.3442,1.983903345724908,2.271818181818182,2.4818573420074355,3.64375,0.0049634743433969244
2019-05-25,0.0,286.84999999999997,281.25,290.65,0.6976214285714286,-27.074800000000003,1.961040892193309,2.2581818181818183,2.462728624535316,3.6333333333333337,0.004121991291619128
2019-05-26,0.0,288.75,280.15,294.84999999999997,0.6978,-23.8054,1.9774349442379184,2.338636363636364,2.513579460966543,3.764583333333334,0.005194454395065676
2019-05-27,0.0007,290.75,287.75,294.95,0.7041714285714284,-20.536,1.993828996282528,2.419090909090909,2.5644302973977697,3.895833333333334,0.003934651427807936
2019-05-28,0.0002,288.54999999999995,281.65,292.45,0.7114642857142858,-7.208,2.0102230483271377,2.4995454545454545,2.6152811338289963,4.027083333333334,0.004498295091553421
2019-05-29,0.0,285.15,280.15,290.54999999999995,0.7061357142857142,-10.572857142857144,2.0266171003717472,2.58,2.666131970260223,4.158333333333333,0.0038377433173008594
2019-05-30,0.0,288.95,280.34999999999997,295.54999999999995,0.6712214285714286,-13.937714285714286,2.043011152416357,2.6604545454545456,2.7169828066914494,4.289583333333334,0.005307070129571011
2019-05-31,0.0006,292.04999999999995,286.15,297.15,0.6649714285714287,-17.30257142857143,2.0594052044609668,2.740909090909091,2.7678336431226764,4.420833333333333,0.005120495876491034
